title,author,date
Cocktails & Chloroform/Schemes & Scandals,By: Kelley Armstrong,Release date: 09-09-25
Oathbringer,By: Brandon Sanderson,Release date: 11-14-17
James,By: Percival Everett,Release date: 03-19-24
Obsessively Yours,By: Jamie Applegate Hunter,Release date: 09-16-25
He Who Fights with Monsters 2,"By: Shirtaloon, Travis Deverell",Release date: 05-18-21
Denim & Diamonds,"By: Penelope Ward, Vi Keeland",Release date: 07-27-25
Haunting Adeline,By: H. D. Carlton,Release date: 08-29-22
Blood of Liscor,By: pirateaba,Release date: 11-22-22
Katabasis,By: R. F. Kuang,Release date: 08-26-25
Unleash Your Feminine Energy,By: Eugenia Wilcher,Release date: 09-12-25
The Well of Ascension,By: Brandon Sanderson,Release date: 12-28-08
The Hero of Ages,By: Brandon Sanderson,Release date: 12-30-07
Villains' Vignettes: Volume 2,By: Drew Hayes,Release date: 08-26-25
A Soul of Ash and Blood,By: Jennifer L. Armentrout,Release date: 07-18-23
Five,By: Paulina Ian-Kane,Release date: 09-16-25
Love & Other Killers,By: Brynne Weaver,Release date: 08-12-25
Apocalypse BREAKER: Book 1 of a LitRPG Apocalypse,"By: Aaron Renfroe, Sean Oswald",Release date: 08-14-25
Before War,By: Elisha Daeva,Release date: 06-17-24
The Battle for Earth,"By: Michael Atamanov, Andrew Schmitt - translator",Release date: 09-09-25
The Badge,By: Lena Hendrix,Release date: 08-27-25
Can't Hurt Me,By: David Goggins,Release date: 11-28-18
The Last Light,By: pirateaba,Release date: 11-23-21
Watchers,By: Dean Koontz,Release date: 05-15-18
The General of Izril,By: pirateaba,Release date: 04-26-22
Demon Copperhead,By: Barbara Kingsolver,Release date: 10-18-22
"Heretical Fishing 4: A Cozy Guide to Annoying the Cults, Outsmarting the Fish, and Alienating Oneself",By: Haylock Jobson,Release date: 08-26-25
A Clash of Kings,By: George R.R. Martin,Release date: 12-28-03
The Thursday Murder Club,By: Richard Osman,Release date: 09-22-20
Exiles,By: Mason Coile,Release date: 09-16-25
Dead Center,"By: Joe Manchin, Nick Saban - foreword",Release date: 09-16-25
My Husband's Wife,By: Carla Kovach,Release date: 09-08-25
Hollis,By: Ashley James,Release date: 09-06-25
The Sarvàn,By: Douglass Hoover,Release date: 09-08-25
Lost Light: The Complete Survival Thriller Series Box Set,By: Kyla Stone,Release date: 12-26-24
A Court of Mist and Fury (Part 1 of 2) (Dramatized Adaptation),By: Sarah J. Maas,Release date: 06-01-22
Rhythm of War,By: Brandon Sanderson,Release date: 11-17-20
Only for Tonight,By: Natasha Madison,Release date: 09-12-25
Winter Solstice,By: pirateaba,Release date: 07-27-21
Commander,By: Mel Todd,Release date: 09-11-25
A Wager with a Rake,"By: Christina Diane, Wicked Widows",Release date: 09-12-25
Amazing Winter Hiking,By: Nanette Fong,Release date: 02-12-25
Sufficiently Advanced Magic,By: Andrew Rowe,Release date: 07-04-17
Seatmate,By: Cara Bastone,Release date: 03-24-22
48 Laws of Power,By: Robert Greene,Release date: 05-01-15
Invictus,By: Sean Liscom,Release date: 09-08-25
Papás Sin Ira,By: Alvin Hargreaves,Release date: 09-11-25
The Avatar,By: Jonathan Cahn,Release date: 09-02-25
Project Hail Mary,By: Andy Weir,Release date: 05-04-21
Trust No One,By: Roger Stelljes,Release date: 09-05-25
The Legend of Randidly Ghosthound 11,"By: Noret Flood, puddles4263",Release date: 09-02-25
From Blood and Ash,By: Jennifer L. Armentrout,Release date: 09-08-20
The Summer War,By: Naomi Novik,Release date: 09-16-25
HRCI-PHR/SPHR Exam Study Guide & Test Prep - Complete Review Edition,By: Michael Brock,Release date: 09-10-25
Black AF History,By: Michael Harriot,Release date: 09-19-23
Iron Gold,By: Pierce Brown,Release date: 01-16-18
BookMail,By: Jason Davis,Release date: 09-08-25
The Couple's Secret,By: Lisa Regan,Release date: 09-01-25
Sons of Valor IV: False Flag,"By: Brian Andrews, Jeffrey Wilson",Release date: 07-22-25
C. S. Lewis Essential Audio Library,By: C. S. Lewis,Release date: 09-07-21
The Perfect Divorce,By: Jeneva Rose,Release date: 04-15-25
Wicked,By: Bianca Cole,Release date: 09-03-25
The Hallmarked Man,By: Robert Galbraith,Release date: 09-02-25
The Housemaid,By: Freida McFadden,Release date: 04-26-22
Dreamteller,By: K. D. Shade,Release date: 09-10-25
"North and Shaw: Out of Office, Volume 2",By: Gregory Ashe,Release date: 09-09-25
The Silent King,By: Guy Haley,Release date: 07-12-25
Rolling 75,By: Brandy Hynes,Release date: 09-12-25
Mavericks,By: Craig Alanson,Release date: 09-25-18
FantasticLand,By: Mike Bockoven,Release date: 01-01-17
The Man Who Died Twice,By: Richard Osman,Release date: 09-28-21
Monsters Mayhem & Misfits Omnibus: Books 1-3,"By: Jack Spry, Marcus Sloss",Release date: 09-10-25
Stutter.,By: Ruby Darling,Release date: 07-15-25
The Next Conversation,By: Jefferson Fisher,Release date: 03-18-25
Dreams of Darkness,By: Ashley Bundy,Release date: 09-12-25
Confronting Evil,"By: Bill O'Reilly, Josh Hammer",Release date: 09-09-25
The Frozen River,By: Ariel Lawhon,Release date: 12-05-23
Restarting the Apocalypse,By: Michael Chatfield,Release date: 08-18-25
Atomic Habits,By: James Clear,Release date: 10-16-18
Trapped in a Dating Sim,By: 三嶋与夢,Release date: 09-05-25
"An Irish Village Mystery Bundle, Books 1-3",By: Carlene O'Connor,Release date: 03-08-22
Unhinged,By: Steph Macca,Release date: 05-29-25
The Wolf King,By: Lauren Palphreyman,Release date: 03-25-25
The Picture of Dorian Gray,By: Oscar Wilde,Release date: 10-26-17
The Five Year Lie,By: Sarina Bowen,Release date: 05-07-24
"Sylver Seeker, Books 1-4: A LitRPG Adventure",By: Kennit Kenway,Release date: 01-21-25
Bossy Mogul,By: Scarlett Avery,Release date: 08-07-25
"The Dark Healer, Book 8","By: Alex Toxic, Nadya Lee, Dan Veksler - translator",Release date: 09-30-25
The Wedding People,By: Alison Espach,Release date: 07-30-24
The Things We Cannot Say,By: Kelly Rimmer,Release date: 03-19-19
Man's Search for Meaning,By: Viktor E. Frankl,Release date: 04-09-24
This Ends in Embers,By: Kamilah Cole,Release date: 02-04-25
The Vanishing Place,By: Zoë Rankin,Release date: 09-16-25
Enrolled Agent Exam Study Guide,By: Stanley Walker,Release date: 09-09-25
A Court of Thorns and Roses (10th Anniversary Recording),By: Sarah J. Maas,Release date: 05-30-25
I Will Break You,By: Gigi Styx,Release date: 11-09-24
The Undying Alchemist,By: Greg Tolley,Release date: 09-10-25
Under Your Scars,By: Ariel N. Anderson,Release date: 07-10-25
The Friend,By: Turtleberry,Release date: 07-14-25
He Who Fights with Monsters 4,"By: Shirtaloon, Travis Deverell",Release date: 12-28-21
The Order of Architects: Book 5,"By: Oleg Sapphire, Yuri Vinokuroff, Christopher Michael Jarrett - translator",Release date: 09-30-25
Twenty Years Later,By: Charlie Donlea,Release date: 12-28-21
The Wilderness,By: Angela Flournoy,Release date: 09-16-25
Stop Letting Everything Affect You,By: Daniel Chidiac,Release date: 07-24-25
Bound in Blood,By: Sadie Kincaid,Release date: 06-26-25
Pearl in the Sand: A Novel,By: Tessa Afshar,Release date: 09-08-25
Dating After the End of the World,By: Jeneva Rose,Release date: 10-01-25
A Storm of Swords,By: George R.R. Martin,Release date: 03-11-04
Funny Story,By: Emily Henry,Release date: 04-23-24
The Authority Gap,By: Mary Ann Sieghart,Release date: 02-08-22
Invasion,By: Sean Oswald,Release date: 08-12-25
My Friends,By: Fredrik Backman,Release date: 05-06-25
Gleam,By: Raven Kennedy,Release date: 09-24-24
The Sean Kruger Series Complete Boxed Set,By: J. C. Fields,Release date: 01-29-18
